whisper-large-v2,file
" Mange tak. som giver borgerne nogle folkeretlige rettigheder. I det konservative Folkeparti mener vi, som vi hele tiden har sagt, at kriminalitet absolut ikke skal premieres med et dansk pas. Derfor er vi, som forslagstillerne giver udtryk for, også meget frustreret over, at det ikke er muligt at fratage kriminelle personer som voldtægtsforbrydere og serikriminelle dansk statsborgerskab som konsekvens af deres kriminalitet. Derfor har vi også af flere omgange opfordret ministeren til at udfordre konventionerne og undersøge, hvad vores handlerum inden for konventionerne er. Jeg har også stillet spørgsmål til ministeren om, hvilke konsekvenser det vil have, hvis vi trådte ud af Statsborgerretskonventionen. Og vi har flere omgange været med til at få strammet kravene for at fordanne statsborgerskab og vil gerne drøfte yderligere stramninger. Regeringen har jo selv skrevet i sit regeringsgrundlag, at vi skal afklare Danmarks manøvrerum i forhold til konventionerne. Og det synes jeg, vi skylder danskerne. Og jeg venter stadig på den afklaring. Vi skal også huske, at det er Socialdemokratiet, der tidligere har foreslået, at statsborgerskaber skal kunne frakendes ved personfarlig kriminalitet. Noget, som konventionerne også har sat en stopper for. Senest har Socialdemokratiets udlændingeordfører, hr. Frederik Wad, udtalt sig i negative vendinger om konventionerne. Så jeg synes ærligt talt, at vi har hørt nok snak. Lad os se at få afklaret vores manøvrerum i forhold til konventionerne, så vi kan stille Danmark og danskerne i den bedste position. Når det så er sagt, så er vi ikke der, hvor vi på baggrund af beslutningsforslaget her vil udtræde af Statsborgerretskonventionen. Alt skal gå ordentligt til, og Danmark skal naturligvis leve op til internationale forpligtelser. Men lad os nu udfordre og undersøge vores handlerum, som jeg har opfordret til, og som jeg håber på, at regeringen og ministeren vil handle på. Tak for ordet. Ja tak, og der er lige en kort bemærkelse.",Brigitte Klintskov Jerkel_video_41_start_3-58-41
" Nu står jeg her på regn af regeringen som indrids- og sundhedsminister, men jeg vil gerne give den serviceoplysning, fordi Venstre kom med et rigtig godt, synes jeg, fatilitetsudspil inden folketingsvalget, og vi har nu på ét år gennemført to ud af de tre forslag, som vi kom med. Og det er jeg rigtig stolt af, at vi har sørget for at sikre, at vi nu har kunnet sætte så mange flueben på så kort tid. Nu er jeg også som indrids- og sundhedsminister optaget af, at vi skal have bekæmpet de alt for lange ventetider, og dialog om, hvordan vi kan bruge de private aktører til at sikre, at vi kan give parerne en hurtigere adgang til fertilitetsbehandling i Danmark.",Sophie Løhde_video_41_start_0-37-11
" vores social- og sundhedsuddannelsesudspillelser. Det er ikke i ældreloven, men i hvert fald i SOSU-udspillet, der fremgår det. I virkeligheden går jeg ikke så meget op i, hvad det er for nogle ord, vi skriver i udspillene. Jeg går mere op i, for at vi skal skabe nogle løsninger, der virker ud lokalt. Det jeg prøver at sige med det er, at jeg synes det er fornuftigt, at vi uddanner vores undervisere på skolerne til at kunne løfte de sprogligt svage elever.",Fie Hækkerup_video_44_start_6-34-02
" Det spørgsmål, der rejses her i forhold til udenlandsk arbejdskraft, skal selvfølgelig også vejes ind i den videre proces med det her forslag. Det er en helt naturlig del af det. Jeg synes, at ministeren var inde på, at man med rette kunne kigge imod for eksempel Lolland, som har gjort sig gode erfaringer med at tage imod udenlandske arbejdskræfter allerede.",Fie Hækkerup_video_44_start_6-37-21
" har fået tildelt dansk statsborgerskab, så er man jo dansker. Og det er derfor, jeg grundlæggende ikke forstår den forskel, som Dansk Folkeparti laver. Altså danske statsborger er danske statsborger, uanset hvordan man vender og drejer det. Og så må jeg da så bare tilføje til Dansk Folkeparti, at det er jo Dansk Folkeparti, der har haft held med, at det er så svært at blive dansk statsborger i dag, som det er. Altså det er noget, man kan lægge over på enerslisten. Jeg ville da ønske, det var os, der havde stirret udlændingepolitikken de sidste 20 år, men det er det ikke. Ja tak. Så er der en kort bemærkning til her.",Rosa Lund_video_41_start_4-14-09
" at sikre en stærk retspolitik. Det her beslutningsforslag udstiller, at DF ingen viden har om, hvad et sådant forslag kommer til at have af effekt på retspolitikken. Man aner ikke, hvilke effekter det her kommer til at få på domstolene og politiet. Og det synes jeg, at man skylder at gå hjem og undersøge ved at tage kontakt til dommerforeningen, tage kontakt til politiforbundet. Og så vil man se, at det her kommer til at skade efterforskningen, og at beslutningsforslaget er helt i regnet. Godmorgen. Jeg kan fortælle ordførende, at det her forslag handler om,",Mai Mercado_video_44_start_3-34-05
" Det er jo det, som jeg lige sagde. Det er jo, at det her forslag, som ordføreren stiller, som handler om at lave en ny undersøgelse med udgangspunkt i en gammel undersøgelse, skal være færdig inden årets udgang. Og der siger jeg, at det forslag, må man se i lyset af, at vi får ikke sat lang tid siden for et par år siden, jeg tror selv, at ordføreren var ordførende på det forslag, jo indførte det nye samtykkebaserede bestemmelses- og straffeloven. Og som jo gør, at mange af de sager, der kører nu, er forholdsvis nye, og derfor er der ikke så mange af dem, og derfor vil vi ikke have det. Næste korte bemærkninger til Fru Mette Thyssen, Dansk Folkeparti.",Bjørn Brandenborg_video_44_start_4-01-34
" Det er fuldstændig korrekt, at lyset var gået ud. Nu er det lys i lampen. Vi prøver at fortsætte, og ellers vil jeg foreslå i første omgang, at vi prøver at køre, og så vil beordfældet blive bestående for, at der er et par korte bemærkninger, og så er man lige foran en sæl, der siger 30 sekunder, hvis det ikke kan virke. Vi prøver, om vi kan fortsætte, og det er fejlanmeldt. Men forløbet har bare anmeldelsen virket. Så det må vi sige,ige. Det er godt. Vi fortsætter. Der er en kort bemærkning til fru Brigitte Winten.",Erling Bonnesen_video_40_start_2-31-17
" Tak for det, og tak til ordførerne for at fremlægge sine synspunkter. Ordførerne nævner blandt andet planloven som et af de steder, man måske skulle sætte kommunerne fri for. Jeg ved ikke, om ordførerne er bekendt med det, men det er jo ikke mange uger siden, at man sidst har ændret i planlovgivningen, så det faktisk nu er muligt for kommunerne at sætte fri, fx i forhold til herregårdslandskaber, hvor man kan oprette solceller og vinde energi? Jeg ved ikke om ordførende er bekendt med det?",Birgitte Vind_video_40_start_2-31-48
" Først og fremmest det her med, at det skulle være en ekstra straf, at politiet overfor medier eksempelvis skal redegøre for, om det er udlændinge, der har begået en gruppevoldtægt. Det er det eneste, de skal redegøre for, og det står i forslaget, at det ikke skal være personhenførbart. Man skal bare vide, hvem er det, der har begået, hvilke typer af mennesker er det, der har begået den her type kriminalitet. Fordi vi jo godt ved, at særlige typer af personfarlig kriminalitet bliver begået af særligt mellemøstlige indvandrere og ikke så meget danskere og vestlige indvandrere. Og så siger ordføren, at det ikke er Folketingets opgave det her. Jo, det er det da. Fordi som ordføren selv nævner, så siger Retsplejelovens, paragraf 818, at det kun er i tilfælde, hvor det handler om at identificere en gerningsmand, at politiet skal opgive sine allemange. Og det er der, hvor vores pointe i Dansk Folkeparti ganske enkelt er, at det er relevant for samfundsdebatten at vide, hvem det er, der begår særlige typer af kriminalitet, når man eksempelvis kan læse en historie om en gruppevoldtægt begået mod en 14-årig pige. Ordføreren? Altså, I pakker for, at under 1 stykke 2 står der, at det er",Mikkel Bjørn_video_44_start_3-07-39
" – som Socialdemokratisk Ordførersag. Det, man måske mere efterspørger, det er, at medierne i højere grad beskriver etnicitet og herkoms fra de domfælde. Det er jo sådan set ikke folketingsbor her. Jeg må gøre opmærksom på, at Retsplejen i Danmark, som alle overvejende udgangspunkt er offentlig, – – at dommer er offentlige, det er flere hundrede år siden, vi havde hemmelige domme. Skulle man være helt i tvivl, kan man gå en tur i byretten og kigge på retslisterne. Så får man også set, hvem der er tiltalt. Det kræver meget fantasi at finde ud af herkomsten i givet fald. Så der er jo ikke noget, der holder skjult. Men det, man ønsker er, at der skal skrives et manuskript til aviserne. Det må pressen altså selv finde udgivelse af døgnrapporter eller omtale af specifikke hændelser. Det er den ene ting. Jeg må sige, der står jo meget i døgnrapporterne. Der står jo altså også, om det er en 13-årig dreng, der har stjålet et eller andet i en forretning, som man nu har fået en anmeldelse om. Det vil altså sige folk, der ikke kan straffes på normal vis. Det kan være mentalt handikappede personer og lignende, som så pludselig der skabt præcis sin allemang ud af. Og det til trods for, at politiet sikkert udmærket ved, hvem det er. Det er jo lidt af en misforståelse. Muligheden for det her, at det er sin allemang, det er jo det, der står i Retsparlamentet fra år 2018. Det er jo et efterforskningsskridt, som Justitsministeren jo også var inde på. Hvis man ved, hvem det er, så er det jo ikke det, man skal diskutere. Så jeg vil nok sige, at forslagets første led betyder jo altså, at der skal sine allemange af alle gamle som ældre, og også dem, man i forvejen ved, hvem er. Man er så ikke ude på at give en ekstra straf. Det er ikke det, vi skal lave om på, så i givet fald, hvis det er det, der skal diskuteres. Det andet element her, det er, at regeringen skal udarbejde initiativer, som sikrer, at politi, domstole, journaliserer et præcis signalement af anholdte, mistæn findes de oplysninger jo allerede i dag. Selvfølgelig skal debatten basere sig på faktuelle oplysninger, men der er jo ikke noget, der holdes skjult for folk i den her sammenhæng. Så derfor mener vi ikke, at der er behov for det, der anføres i beslutningsforslaget, og det får derfor ikke Venstres stemme.",Preben Bang Henriksen_video_44_start_3-04-20
" Det, som ministeren og jeg selv insisterer på, er, at politiet har mulighed for at passe deres arbejde og gøre det på den måde, som de også selv synes er den bedste måde at gøre det på. Det er jo blandt andet at bruge sine læmanger. Jeg ved ikke, hvor ordføreren har den forståelse af, at man ikke gør det. Jeg synes i flæng, at man heldigvis ser, at politiet også bruger, hvordan folk ser ud, hvilket etnicitet de har, når de laver sine lævaner, fordi det netop skal bruges til at kunne opklare nogle af de meget alvorlige forbødelser.",Bjørn Brandenborg_video_44_start_3-00-24
" Om et byggeri eller etablering af infrastruktur kan finde sted, bør, som det også sker i dag, foretages på en konkret projektspecifik grundlag og på baggrund af en dokumenteret risikovurdering. Et generelt forbud vil potentielt øge omkostningsniveauet ved nyetablering af byggeri og infrastruktur fremadrettet. I forbindelse med håndtering af j jordforurening, er det generelt vigtigt med en hård prioritering af ressourcerne, så indsatsen placeres der, hvor der er dokumenteret risiko for mennesker og miljø. Der findes i dag allerede en lang række teknikker til håndtering af jordforurening i forbindelse med byggeri og anlægsarbejde, som sikrer mod fremtidig risiko og mulighed for oprentning uden øget omkostninger, helt i henhold til den eksisterende jordforureningslov. Og derfor mener vi i Liberal Alliance, at SF's forslag om et generelt forbud er en meget ufleksibel løsning på et problem, som der allerede findes lovgivning om. Men hvis jeg alligevel skal vise en vis form for åbenhed i forhold til det forslag, som SF er kommet med, så synes jeg jo egentlig, at der er nogle dele, f.eks. det her med ensartet krav til, hvor højt inddørsluftens indhold af kemikalier må være, som godt kunne give god mening at kigge lidt på igen. Fordi, som ministeren jo var inde på, så har man valgt at prioritere drikkevand, natur og menneskers sundhed. Men vi bruger også mange timer på vores arbejdsplads, så derfor synes jeg jo også, at der bør være en høj kvalitet af luften der, fordi det jo også påvirker sundhed og sikkerhed. Så med en lille åbning for dele af forslaget, men altså vi kan ikke støtte det samlede forslag primært på grund af forbudselementet, som er lidt for rigid til vores mage.",Alexander Ryle_video_40_start_3-42-15
" Det er desværre forhåndende flere steder i retssystemet, som skaber de udfordringer, som ligger til grund for beslutningsforslaget og ønsket om kortere varetægtsfængslinger. Sagsplanningstiderne, hvilke politiet, anklagmyndigheden og domstolene kan trække ud, vil ikke betyde, at varetægtsfængslingen i nogen tilfælde trækker ud, som følge af de lange sagsbanestider. Men når med søs og flers aftaler, som Radikale Venstre selv var med i for domstolene fra 2023, kan vi forhåbentlig komme med stor del af udfordringen til livs. Med flere dommer og eurister skal sagsbanestiden bringes ned, og det kan forhåbentlig også nedbringe vejheden af varetægtsfængslingerne. En anden del af beslutningsforslaget indebærer, at man kigger ind i at begrænse antallet af varetægtsfængslinger. For os i Moderaterne er det vigtigt at slå fast, at varetægtsfængslinger står som et centralt element for både retsfølelsen og retssikkerheden i Danmark. Det er vigtigt, at eksempelvis personer, som er sigtet for grove forbrydelser, ikke render frit rundt på gaden og potentielt møder dem, som har anmeldt dem. Derudover bliver der ikke varetægtsfængslet, medmindre at der er et proportionalt indgreb, som så at sige matcher længden af den forventede straf samt den sigtede personlige forhold. Og der er det sådan, at 85 procent af de varetægtsfængslet ender faktisk også med at få en ubetænket straf efterfølgende i forbindelse med en retssag. Vi har tilskruet til, at domstolen straffer de rigtige beslutninger omkring varetægtsfængslinger, så vi eksempelvis undgår, at sigtede personer begår ny kriminalitet. Og det skal egentlig også nævnes i forlængelse af det, at antallet af varetægtsfængslinger også er faldet med over 20 procent inden for de seneste fem år. Når det er sagt, så hilser vi imoderaterne forslagstillerens budskab omkring alternativer til varetægtsfængsling velkommen. Imoderaterne vil særligt optage det at først og fremmest have et forbyg kriminalitet og dernæst at sikre bedre resocialisering, så vi som samfund undgår, at personer falder tilbage til ny kriminalitet. Her er det særligt vigtigt, at vi retter fokus for os at se mod unge lovåretrædere mere end vi gør i dag. Og at vi også retter fokus på førstegangskriminelle, altså folk, der ikke er tidligere straffet. I forhold til den gruppe vil vi gerne se ind i muligheden for eksempelvis, at man kan få fodlænke på i stedet for at blive varetægtsfængslet og i det hele taget også kan afzone efterfølgende med fodlænke. For med de kapacitets- og mandskabsproblemer vi har i kriminalforsorgen, så synes jeg faktisk, at det giver ganske god mening. Og det håber vi også, at flere partier er villige til at kigge ind i, når vi i første halve år af 2024 skal have videre drygtfølser omkring varetægtsfængslinger. Så i moderat en del er vi sådan set radikalsk bekymring omkring den stigende varighedring varetægtsfængslinger. Så i moderat en del er vi sådan set radikals bekymring omkring den stigende varighed af varetægtsfængslinger. Og vi ser frem til videredrøftelser omkring det. Men på nuværende tidspunkt kan vi ikke støtte beslutningsforslaget.",Tobias Grotkjær Elmstrøm_video_44_start_5-25-58
" – og det er første behandling af beslutningsforslaget B74. Det er forslaget til Folketingsbeslutning om forbud mod byggeri oven på affaldsdepoter og kemiske hotspots og om modernisering af jordforureningsloven. Det er af Marianne Bikrum, SF og Signe Munk.",Erling Bonnesen_video_40_start_2-57-57
" Jeg har sagt offentligt mange gange, at da jeg var helt ung, havde jeg en idolplakat af fru Pia Kærskov hængende på mit værelse. Danmarks hjemmehjælp stod der, fordi jeg har nemlig også altid kæmpet for hjemmeplejere. Det har fru Pia Kærskov også gjort. Så tak for det. Når det så er sagt, så synes jeg, at der var sådan en lidt kedelig ordveksling tidligere i dag for anledning af, at fru Pia Kærskov stillede mig et spørgsmål, mens jeg var på ordførerstolen. Nu tager jeg det op igen, fordi jeg ikke synes, at fru Pia Kærsgaard stillede det rigtige spørgsmål til mig. Jeg synes, at Pia Kærsgaard skulle have stillet det spørgsmål til mig, om hvad det er, at Danmarksdemokraterne så ville stemme til det her beslutningsforslag, hvis det kom til afstemning. Og så havde jeg sagt, så stemmer vi for. Men det undlod fru Pia Kærskov at stille det spørgsmål, det synes jeg bare er hammerende ærgerligt. Og derfor vil jeg gerne lige sige det, at vi stemmer altså for, at Danmarksdemokraterne, det mandat har jeg fået af Folketingsgruppen tidligere i dag. Ordføreren? Det må jeg altså sige, det synes jeg i den grad burde have været",Marlene Harpsøe_video_44_start_7-30-37
 Det er l i talen. Ordføreren. Jamen intentionen i talen,Mai Mercado_video_44_start_7-13-12
" Det vil jeg hendevise til igen. Jeg har tillid til, at lovgivningen, også dem, der skal lave de faglige vurderinger, tager højde for ny viden. Så den viden, der er til rådighed, går til at vejbringe det beslutningsgrundlag, der skal etableres for at træffe en beslutning om, om der skal laves den her PE-plan, byggeri eller aktiviteter på den pågældende patrikel, som der ønskes at laves aktiviteter på. Skal det modsatte vise sig, så har ministeren også tilkendt det. Så kigger vi selvfølgelig på det. Men i forløbet har jeg som udgangspunkt tilit til de faglige folk, der er sat til det. Tak. Og spørgerne?",Erling Bonnesen_video_40_start_3-30-04
" Først og fremmest er det, at Danmark har forpligtighed til at leve op til de her internationale forpligtigheder. Jeg synes også, det skal ses i en større sammenhæng, hvor vi som lille land nu kan være med til at påvirke beslutninger. Og så har konventioner gennem tiderne også givet befolkningen nogle folkerettelige rettigheder. Det skal man også huske på i forhold til forskellige konventioner. Men jeg vil også godt sige, at jeg har stillet spørgsmål til ministeren omkring, hvilke konsekvenser det vil få, hvis Danmark trådte ud af konventionen. Og det afventer jeg så at få svar på på et eller andet tidspunkt fra ministeren. Tak. Hvad skulle du spørge om?",Brigitte Klintskov Jerkel_video_41_start_4-02-44
" Tak for ordet. Med beslutningsforslaget i dag ønsker forslagstillerne, at Danmark træder ud af Statsborgerretskonventionen, som stammer fra 1997. Da konventionsbestemmelser ifølge forslagstillerne ikke muliggør, at kriminelle mennesker herunder voldtægtsforbryder og seriekriminelle kan fretage statsborgerskab som konsekvens af deres alvorlige kriminalitet. Jeg vil gerne starte med at understrege, at vi deler forslagets intention. For vi synes grundlæggende også, at det er et problem for Danmark, at man ikke kan fretage kriminelle udlænde deres statsborgerskab for alvorlig kriminalitet. For kriminelle udlænding har selvfølgelig ikke fortjent at få det danske statsborgerskab, når man begår alvorlig kriminalitet efterfølgende. Det har vi desværre set alt for mange eksempler af. Derfor anerkender Danmarksdemokraterne også til fulde, at statsborgerretskonventionen er et problem for Danmark. For det er desværre endnu et eksempel på, at konventionerne er skrevet i en tid, som ikke repræsenterer den tid, vi lever i i dag. Med andre ord er den ikke længere tidssvarende, når konventionen beskytter kriminelle udlænding. Det skal vi selvfølgelig have gjort noget ved. Derfor mener vi også i Danmarksdemokraterne, at vi skal tage et opgør med konventionerne. Vi har brug for at få afdækket, hvordan man kan udfordre og ændre konventionen, så vi kan presse rammerne for konventionen til det yderste, så det i højere grad kan blive nemmere at kunne fratage statsborgerskabet for kriminelle udlændinge. Men vi anerkender også, at det er vigtigt for et lille land som Danmark, at der sættes nogle fælles rammer og etableres en fælles spilbane, man skal overholde og spille på. Det betyder ikke, at man ikke i fællesskab kan prøve at ændre på den her spilbane og reglerne. Og derfor er det Danmarksdemokraternes opfattelse, at Danmark skal søge opbakning blandt ligesindede lande, – – som også mener, at konventioner må udfordres og laves om. Vi vil derfor under udvalgsbehandling spørge ind til, hvad status er med regeringens arbejde om at udpege en ambassadør, – – der skal sikre, at Danmark engagerer sig i arbejdet med konventionerne – – herunder hvordan de fortolkes og anvendes, så de i langt højere grad kan udfordres. Samtidig skal det klarlægges, hvilke andre lande, der har udtrykt kritik over for statsborgerretkonventionen – – så vi i fællesskab med andre lande kan undersøge, hvordan vi gør konventionen mere tidssvarende. Og helt ærligt, man har skrevet det her i regeringsgrundlaget, og siden har vi ikke hørt noget. Så nu må regeringen komme på banen og præsentere nogle løsninger, for det er nødvendigt, at vi får undersøgt, hvordan vi kan udfordre de her konventioner. Tak for ordet.",Kristian Bøgsted_video_41_start_3-36-23
" Der er i flere kort voreslag, hvor der står, at Folketinget pålægger regeringen i indeværende Folketingsråd udarbejde initiativer, som sikrer, at politiet altid, når et sådan er til rådighed, oplyser et præcist signalemang ved udgivelse af døgnrapporter eller omtale af specifikke hendelser. Det er jo ikke mig, der står og finder på, at det her kommer til at skade efterforskningen. Det er jo lige præcis de store og vigtige aktører, som eks. Dommerforeningen og også politiet, som vurderer, at det her forslag kommer til at gøre mere skade end gavn.",Mai Mercado_video_44_start_3-35-25
" Jeg reflekterer lidt over det, som overføreren var inde på, og som sagde en par gange i sin overførertal med, at det var jo vigtigt, at man satte kommunerne fri. Og der kunne jeg godt tænke mig at spørge enhedslæsningsoverføreren lidt i forhold til det her med, at når man vurderer, at man kan sætte kommuner fri, så ville det jo i nogle tilfælde betyde, at det ville være til ugunst for private borgere og lokale virksomheder. Fordi når man giver en frihed til nogen, så tager man som regel en rettighed fra andre. Og der var ordførende selv inde på det her med hensyn til planloven. Altså der er høringsret i mange sager, hvis man er naboer og pårørende høringsperioder, der er klageinstanser og der er spørgsmål om opsættende virkning eller ej. Og der vil jeg bare gerne sådan for god orden skyldes på 1-1-listens vurdering af det med, at når man slipper nogen fri, hvad så med dem, der bliver bundet?",Hans Kristian Skibby_video_40_start_2-34-32
" Tak for det, formand. på et socialt medie her for nylig, at der blev diskuteret kunstig intelligens på Christiansborg, og en bekendt af mig havde skrevet i en kommentarfelt, at det var dog dejligt med kunstig intelligens på Christiansborg, for så var der dog nogen intelligens på Christiansborg. Og spøjt til side, jeg synes det er helt åbenlyst, at vi selvfølgelig har brug for at diskutere det her. Jeg bliver en lille smule træt af, når vi har de her diskussioner, at der altid bliver henvist til et eller andet EU-spor. For når man tænker på, hvor vigtig den her dagsorden er, så er det en dum idé at overlade det til EU. Så det er i hvert fald noget, vi har brug for at diskutere rigtig meget selv. Det kan også være, at vi har brug for at diskutere det i EU-regi, men det giver enormt god mening, at vi også diskuterer det her. Det giver også mening, at Danmark, som et af de mest digitaliserede lande i Europa, selvfølgelig har en stærk stemme på det her, blandt andre lande. Og vi har en minister, som er aktiv overfor andre lande med det arbejde, der foregår i Bruxelles. Så langt hen ad vejen er jeg enormt positiv over for SF's forslag. Jeg ved ikke, om det rigtige er at lande en beretning på det eller om det er at sende det til afstemning. Det må ordføreren jo om. Men vi er faktisk meget positive over for nogle af de her takter, der ligger i det. Fordi at opfindelsen af kunstig intelligens måske er en af de største opdagelser i menneskehedens nyere historie. Noget af det, der vil ændre vores samfund allermest i de kommende år i særdeleshed. Der synes vi i Dansk Folkeparti, at det er meget vigtigt, at der er en stærk politisk lovbaseret regulering. At det ikke er firmaer, der er på den anden side af jordkloden, der får lov til at sætte dagsorden for, hvad man kan og ikke kan med kunstig intelligens? Men er det noget, hvor vi har noget gennemsigtighed, men også hvor det er demokratiets spilleregler, der er afgørende for, hvordan den her teknologi vil udfolde sig? Det er det ene aspekt i det. Det andet aspekt er jo også, at den vestlige civilisation jo er i en enorm konkurrence med andre civilisationer, der måske tager nogle helt andre hensyn, end vi vil gøre. For eksempel det, der foregår i Kina i de her år, som også buller derudad, buller fremad, men som har nogle helt andre værdier, man lægger ned over den her nye teknologi. Så min konklusion er, at der er mange gode ting i det her forslag, og det vil vi meget gerne arbejde videre med, og store dele af det kan vi for så vidt også støtte. Tak for ordet.",Peter Kofod_video_41_start_2-12-10
" Det er godt opklaret, at det alene er den sidste del af beslutningsforslaget, som Liberale Alliance ikke er enige i. Den er faktisk inspireret af den amerikanske tilgang, hvor man pålægger virksomhederne i en form for selvjustits. Altså når man opdager diskrimination og bias i sine produkter, så er man også forpligtet til at rette det. En tilgang, som virksomhederne i USA selv havde ønsket sig, fordi det selvfølgelig er meget mindre indgribende end fx vores AI-forordning, der har en anden regulatorisk tilgang.",Lisbeth Bech-Nielsen_video_41_start_1-56-28
" Tak til Mikkel Bjørn for anerkendelsen af min tale, så er vi nok ikke enige om fremgangsmetoden for en liberal alliance. Der ønsker vi ikke at udtræde af de internationale konventioner, som vi har tiltrådt. Men vi vil til gengæld gerne se på, om vi på nogen måde kan udfordre dem, eventuelt ændre dem. Og det hører jeg egentlig også andre partier her i Folketingets salen også er interesserede i. Ja tak. Vær så god at spørge.",Sandra Elisabeth Skalvig_video_41_start_3-51-11
" Tak for ordet og tak som forslagstillere også selv bemærker, er der jo EU-regulering på trapperne. Det er der flere ordførere været inde på, og ministeren var det også selv. Reguleringen er netop adresseret, hvor der skal trædes på bremsen, og som ikke giver meget danske virksomheds konkurrence. I det perspektiv skal vi jo også have med, for det er jo det sidste, vi har brug for lige nu og her. Og samtidig mener jeg, at hvis vi skal gå ind i sådan et forslag, så skal der fokus på speederen også. Det er ikke nok at have foden på bremsen. Hvad er det, der skal til for, at vi kommer hurtigere og bedre op og flyve, når det gælder kunstig intelligens? For det er et lille sprogeområde dansk. Her kunne vi f.eks. overveje at slippe nogle flere data-ikkefølelser med data løs som træningsdata. For f.eks. at få chatbots af høj kvalitet og troværdighed, skal der bruges træningsdata af høj kvalitet og troværdighed. Danmarks Radio har masser af egenproduceret kvalitetindhold, som jo allerede er betalt af skattekroner. Men DR har man en væsentlig mere liberal tilgang. Det kan være, at det er for voldsomt, men der er i hvert fald mulighed for at øve sig. Det er det, vi har behov for, og det er også det, det danske erhvervsliv har behov for, hvis de skal løse nogle af vores store udfordringer med klima og sundhed. Vi kunne jo blandt andet også bare lade os inspirere af tilgangen hos Statens Museum for Kunst, som digitaliserer værker og stiller dem til rådighed for hele internettet og lader andre bruge løs og udstille på deres egen platform. Det gør man med skarpt øje for formålet om at fremme kulturarven, så enhver kan bruge værkerne i alt fra skoleopgaver til en ny digital platform. Udbredelse og anmeldelse er vigtigere, end at den enkelte bruger besøger – – Statens Museum for Kunst egen hjemmeside eller fysiske udstillinger. Den tilgang kan jeg godt lide. Og det er klart, at udviklingen af kunstens agens bliver et væsentligt konkurrenceparameter – – i de kommende årtier. Ergo er brug for, efter vores mening, en lidt mere liberal tilgang, – – så vi får de konkurrencedygtige virksomheder op at flyve. En mere liberal tilgang i reguleringen af AI end der lægges op til i B42.",Mona Juul_video_41_start_1-57-47
" Det er det, vi alle sammen kan. Vi har haft nogle relationer til, hvordan folk har haft det i forhold til sygehusvæsenet og plejehjemsektoren. Hvis vi er heldige at blive gamle nok, så bliver vi selv omfattet af det. Vi har alle sammen en forældre, en moster, en fæster, en onkel. Sådan må det være.for synes jeg, at det er et godt spor, at man også siger, at jeg kender det godt. Det tror jeg er ret, ret vigtigt, at vi også har med i den her debat, fordi det er virkelig alvorligt, det her.",Pia Kjærsgaard_video_44_start_6-45-11
" Det er det, jeg nævnte, hvor der er behov for det modsatte, det er beskyttelse af drikkevandet. Jamen der er regeringen også i drøftet med Folketingets partier, men er jo ikke med at komme med et lovkrav, som vi skal forhandle her i Folketingssalen herom, i hvert fald i den her Folketingssamling, som jo modsat ikke giver frihed, men giver faktisk flere krav for at beskytte vores drikkevand.",Magnus Heunicke_video_40_start_1-31-38
" Der var nogle gode intentioner i ministerens taler. Jeg vil gerne hjælpe Miljøministeren til at være en rigtig Miljøminister, ikke en københavns version af smadremanden, hvor at mest muligt genbrugt byggemateriale bliver til vejfyld, som er situationen nu. Vi skal frem til, at der bliver udviklet på det her. Når ministeren siger, at det er et plus, så kommer vi frem til, at der er noget autorisation på at lave det her nedbrydningsarbejdet. Der er jo meget stor forskel på, om man skal nedbryde en femetages bygning inde i byen med naboer lige ved siden af, eller om man valgte, at man også kunne genbruge byggematerialer fra et baselhus, hvor der er langt til naboen og hvor man kan bruge noget mere simpelt materiel. Jeg synes egentlig, at det er nogle af de nemme løsninger, man fravælger ved at sætte den her græns på 250 kvm. For hvis man skulle starte med det der var nemmest, så var det at tage de bygninger, som var lavest. Og derfor synes jeg, at det er rigtig ærgerligt, at man er inde på det her 250 kvm. Så jeg håber da, at ministeren vil være med til at kigge på, om det er en rigtig grænse, og at det ikke bare er noget med, at nu har vi en bekendtgørelse, og ministeren engang, hvem der nu er minister engang, kan komme med nye regler. Hvorfor ikke fastlægge nu, at der skal laves regler for 52 kvm bygninger?",Søren Egge Rasmussen_video_40_start_1-09-48
" Det er en af de to ting, jeg vil sige i forhold til det her med at styrke sprogstøttens sprogscreening. Der har også været tidligere aftaler tilbage i tid omkring styrkelse af, hvordan vi indretter danskundervisningstilbud. 3 parten for 23 blev der afsat, den pulje til særlig indsats for fastholdelse af elever. Jeg synes, at forskellen på de initiativer og standarder, det er, at det skaber nogle rammer, nogle muligheder, som kommuner kan vælge Næste kort bemærkning til fru Kirsten Norman Andersen, SF.",Mette Kierkgaard_video_44_start_6-21-56
